date,sales
2022-01-01,1513
2022-01-02,1520
2022-01-03,1482
2022-01-04,1449
2022-01-05,1412
2022-01-06,1293
2022-01-07,1387
2022-01-08,1549
2022-01-09,1661
2022-01-10,1578
2022-01-11,1452
2022-01-12,1435
2022-01-13,1320
2022-01-14,1331
2022-01-15,1448
2022-01-16,1492
2022-01-17,1508
2022-01-18,1528
2022-01-19,1490
2022-01-20,1299
2022-01-21,1392
2022-01-22,1456
2022-01-23,1473
2022-01-24,1546
2022-01-25,1475
2022-01-26,1470
2022-01-27,1266
2022-01-28,1498
2022-01-29,1588
2022-01-30,1600
2022-01-31,1558
2022-02-01,1498
2022-02-02,1463
2022-02-03,1408
2022-02-04,1469
2022-02-05,1576
2022-02-06,1740
2022-02-07,1644
2022-02-08,1577
2022-02-09,1553
2022-02-10,1375
2022-02-11,1615
2022-02-12,1600
2022-02-13,1603
2022-02-14,2263
2022-02-15,1610
2022-02-16,1515
2022-02-17,1417
2022-02-18,1502
2022-02-19,1571
2022-02-20,1681
2022-02-21,2210
2022-02-22,1511
2022-02-23,1389
2022-02-24,1359
2022-02-25,1399
2022-02-26,2145
2022-02-27,1673
2022-02-28,1621
2022-03-01,1689
2022-03-02,1513
2022-03-03,1459
2022-03-04,1406
2022-03-05,1676
2022-03-06,1687
2022-03-07,1729
2022-03-08,1687
2022-03-09,1520
2022-03-10,1546
2022-03-11,1504
2022-03-12,2160
2022-03-13,1742
2022-03-14,1699
2022-03-15,1628
2022-03-16,1471
2022-03-17,1467
2022-03-18,1590
2022-03-19,1478
2022-03-20,1719
2022-03-21,1371
2022-03-22,1506
2022-03-23,1458
2022-03-24,1376
2022-03-25,1528
2022-03-26,1628
2022-03-27,1709
2022-03-28,2206
2022-03-29,1634
2022-03-30,2647
2022-03-31,1513
2022-04-01,1471
2022-04-02,1591
2022-04-03,1795
2022-04-04,1678
2022-04-05,1593
2022-04-06,1515
2022-04-07,2883
2022-04-08,1575
2022-04-09,1669
2022-04-10,2229
2022-04-11,2135
2022-04-12,2035
2022-04-13,1999
2022-04-14,1850
2022-04-15,1797
2022-04-16,1964
2022-04-17,2084
2022-04-18,2766
2022-04-19,1634
2022-04-20,1494
2022-04-21,1474
2022-04-22,1521
2022-04-23,1575
2022-04-24,1680
2022-04-25,1529
2022-04-26,1553
2022-04-27,1418
2022-04-28,1433
2022-04-29,1462
2022-04-30,1604
2022-05-01,2149
2022-05-02,1754
2022-05-03,1542
2022-05-04,1463
2022-05-05,1558
2022-05-06,1473
2022-05-07,1604
2022-05-08,1837
2022-05-09,1738
2022-05-10,1611
2022-05-11,1563
2022-05-12,1588
2022-05-13,1542
2022-05-14,1699
2022-05-15,1744
2022-05-16,1700
2022-05-17,1595
2022-05-18,1497
2022-05-19,1445
2022-05-20,2531
2022-05-21,1553
2022-05-22,1640
2022-05-23,1573
2022-05-24,1534
2022-05-25,1381
2022-05-26,1507
2022-05-27,1369
2022-05-28,1525
2022-05-29,1583
2022-05-30,1616
2022-05-31,1532
2022-06-01,1418
2022-06-02,1449
2022-06-03,1482
2022-06-04,1585
2022-06-05,1640
2022-06-06,2465
2022-06-07,1604
2022-06-08,1947
2022-06-09,1520
2022-06-10,1431
2022-06-11,1732
2022-06-12,1678
2022-06-13,1675
2022-06-14,1468
2022-06-15,1410
2022-06-16,1470
2022-06-17,1429
2022-06-18,1634
2022-06-19,1626
2022-06-20,1559
2022-06-21,1570
2022-06-22,1444
2022-06-23,1327
2022-06-24,2098
2022-06-25,1371
2022-06-26,1537
2022-06-27,1463
2022-06-28,1591
2022-06-29,1357
2022-06-30,1308
2022-07-01,1294
2022-07-02,1496
2022-07-03,1562
2022-07-04,1642
2022-07-05,1522
2022-07-06,1435
2022-07-07,1380
2022-07-08,1446
2022-07-09,1524
2022-07-10,2103
2022-07-11,1655
2022-07-12,1543
2022-07-13,1418
2022-07-14,1324
2022-07-15,1366
2022-07-16,1530
2022-07-17,1497
2022-07-18,1556
2022-07-19,2528
2022-07-20,1349
2022-07-21,1262
2022-07-22,1280
2022-07-23,1459
2022-07-24,1496
2022-07-25,1434
2022-07-26,1425
2022-07-27,1342
2022-07-28,1703
2022-07-29,1317
2022-07-30,1548
2022-07-31,1536
2022-08-01,1401
2022-08-02,1444
2022-08-03,1273
2022-08-04,1463
2022-08-05,1444
2022-08-06,1449
2022-08-07,1866
2022-08-08,1483
2022-08-09,1463
2022-08-10,1302
2022-08-11,1326
2022-08-12,1334
2022-08-13,1477
2022-08-14,1551
2022-08-15,1445
2022-08-16,1387
2022-08-17,1333
2022-08-18,1237
2022-08-19,1317
2022-08-20,1402
2022-08-21,1556
2022-08-22,1459
2022-08-23,1413
2022-08-24,1279
2022-08-25,1225
2022-08-26,1318
2022-08-27,1356
2022-08-28,1480
2022-08-29,1407
2022-08-30,1361
2022-08-31,1241
2022-09-01,1217
2022-09-02,1236
2022-09-03,1452
2022-09-04,1558
2022-09-05,2365
2022-09-06,1978
2022-09-07,1341
2022-09-08,1259
2022-09-09,1357
2022-09-10,1482
2022-09-11,1435
2022-09-12,1466
2022-09-13,1378
2022-09-14,1308
2022-09-15,1233
2022-09-16,1271
2022-09-17,1383
2022-09-18,1449
2022-09-19,1469
2022-09-20,1381
2022-09-21,1230
2022-09-22,1178
2022-09-23,1242
2022-09-24,1376
2022-09-25,1402
2022-09-26,1381
2022-09-27,1431
2022-09-28,1237
2022-09-29,1309
2022-09-30,1298
2022-10-01,1473
2022-10-02,1448
2022-10-03,1440
2022-10-04,1383
2022-10-05,1381
2022-10-06,1256
2022-10-07,1342
2022-10-08,1480
2022-10-09,1525
2022-10-10,1549
2022-10-11,1439
2022-10-12,1385
2022-10-13,1264
2022-10-14,1923
2022-10-15,1463
2022-10-16,1517
2022-10-17,1460
2022-10-18,2396
2022-10-19,1366
2022-10-20,1179
2022-10-21,1189
2022-10-22,1419
2022-10-23,1489
2022-10-24,1424
2022-10-25,1341
2022-10-26,1296
2022-10-27,1304
2022-10-28,1367
2022-10-29,1314
2022-10-30,1459
2022-10-31,1426
2022-11-01,1483
2022-11-02,1216
2022-11-03,1315
2022-11-04,1308
2022-11-05,1542
2022-11-06,1620
2022-11-07,1533
2022-11-08,1393
2022-11-09,1358
2022-11-10,1311
2022-11-11,1288
2022-11-12,1538
2022-11-13,1487
2022-11-14,1602
2022-11-15,2077
2022-11-16,1339
2022-11-17,1312
2022-11-18,1304
2022-11-19,1478
2022-11-20,2133
2022-11-21,1474
2022-11-22,1428
2022-11-23,1290
2022-11-24,1288
2022-11-25,1296
2022-11-26,1386
2022-11-27,1512
2022-11-28,1463
2022-11-29,1409
2022-11-30,1217
2022-12-01,1324
2022-12-02,1316
2022-12-03,1478
2022-12-04,1639
2022-12-05,1589
2022-12-06,1469
2022-12-07,1455
2022-12-08,1397
2022-12-09,1495
2022-12-10,1618
2022-12-11,2620
2022-12-12,1629
2022-12-13,1591
2022-12-14,1468
2022-12-15,1367
2022-12-16,1509
2022-12-17,1554
2022-12-18,2548
2022-12-19,1610
2022-12-20,2101
2022-12-21,1962
2022-12-22,1932
2022-12-23,1940
2022-12-24,2029
2022-12-25,2196
2022-12-26,2203
2022-12-27,2069
2022-12-28,2108
2022-12-29,1889
2022-12-30,2041
2022-12-31,2218
2023-01-01,1627
2023-01-02,1600
2023-01-03,2488
2023-01-04,1518
2023-01-05,1357
2023-01-06,1439
2023-01-07,1621
2023-01-08,1639
2023-01-09,1645
2023-01-10,1552
2023-01-11,1512
2023-01-12,1458
2023-01-13,1506
2023-01-14,1615
2023-01-15,1714
2023-01-16,1661
2023-01-17,1631
2023-01-18,1532
2023-01-19,1467
2023-01-20,1591
2023-01-21,1593
2023-01-22,1773
2023-01-23,1629
2023-01-24,2172
2023-01-25,1459
2023-01-26,1499
2023-01-27,1532
2023-01-28,1627
2023-01-29,1385
2023-01-30,2679
2023-01-31,1542
2023-02-01,1601
2023-02-02,1495
2023-02-03,1566
2023-02-04,1643
2023-02-05,1841
2023-02-06,1658
2023-02-07,1618
2023-02-08,1670
2023-02-09,1428
2023-02-10,1587
2023-02-11,1698
2023-02-12,1741
2023-02-13,1721
2023-02-14,1631
2023-02-15,1651
2023-02-16,1602
2023-02-17,1496
2023-02-18,1670
2023-02-19,1460
2023-02-20,1732
2023-02-21,1674
2023-02-22,1524
2023-02-23,1485
2023-02-24,1500
2023-02-25,1568
2023-02-26,1799
